"GEE_WRS_tile","Atmos_ARD_tile","DATE","h","v","PATH","ROW"
"LE07_034027_20210627",NA,20210627,"014","004",34,27
"LE07_034027_20210713",NA,20210713,"014","004",34,27
"LE07_034027_20210729",NA,20210729,"014","004",34,27
"LE07_034027_20210814",NA,20210814,"014","004",34,27
"LE07_034027_20210830",NA,20210830,"014","004",34,27
"LE07_034027_20210915",NA,20210915,"014","004",34,27
"LE07_034027_20211001",NA,20211001,"014","004",34,27
"LE07_034027_20211017",NA,20211017,"014","004",34,27
"LE07_034027_20211102",NA,20211102,"014","004",34,27
"LE07_034027_20211118",NA,20211118,"014","004",34,27
"LE07_034027_20220206",NA,20220206,"014","004",34,27
"LE07_034027_20220222",NA,20220222,"014","004",34,27
"LE07_034027_20220310",NA,20220310,"014","004",34,27
"LE07_034027_20220326",NA,20220326,"014","004",34,27
"LE07_033028_20201108",NA,20201108,"014","005",33,28
"LE07_031029_20201025",NA,20201025,"014","006",31,29
"LE07_032032_20200626",NA,20200626,"014","009",32,32
"LE07_032032_20200712",NA,20200712,"014","009",32,32
"LE07_032032_20200728",NA,20200728,"014","009",32,32
"LE07_032032_20201016",NA,20201016,"014","009",32,32
"LE07_032032_20201101",NA,20201101,"014","009",32,32
"LE07_032032_20201117",NA,20201117,"014","009",32,32
"LE07_032032_20201203",NA,20201203,"014","009",32,32
"LE07_032032_20201219",NA,20201219,"014","009",32,32
"LE07_032032_20210104",NA,20210104,"014","009",32,32
"LE07_032032_20210120",NA,20210120,"014","009",32,32
"LE07_032032_20210205",NA,20210205,"014","009",32,32
"LE07_032032_20210221",NA,20210221,"014","009",32,32
"LE07_032032_20210309",NA,20210309,"014","009",32,32
"LE07_032032_20210325",NA,20210325,"014","009",32,32
"LE07_032032_20210410",NA,20210410,"014","009",32,32
"LE07_032032_20210426",NA,20210426,"014","009",32,32
"LE07_032032_20210512",NA,20210512,"014","009",32,32
"LE07_032032_20210528",NA,20210528,"014","009",32,32
"LE07_032032_20210613",NA,20210613,"014","009",32,32
"LE07_032032_20210629",NA,20210629,"014","009",32,32
"LE07_032032_20210715",NA,20210715,"014","009",32,32
"LE07_032032_20210816",NA,20210816,"014","009",32,32
"LE07_032032_20210901",NA,20210901,"014","009",32,32
"LE07_032032_20211003",NA,20211003,"014","009",32,32
"LE07_032032_20211019",NA,20211019,"014","009",32,32
"LE07_032032_20211104",NA,20211104,"014","009",32,32
"LE07_032032_20211120",NA,20211120,"014","009",32,32
"LE07_032032_20211206",NA,20211206,"014","009",32,32
"LE07_032032_20211222",NA,20211222,"014","009",32,32
"LE07_032032_20220107",NA,20220107,"014","009",32,32
"LE07_032032_20220123",NA,20220123,"014","009",32,32
"LE07_032032_20220208",NA,20220208,"014","009",32,32
"LE07_032032_20220224",NA,20220224,"014","009",32,32
"LE07_032032_20220312",NA,20220312,"014","009",32,32
"LE07_032032_20220328",NA,20220328,"014","009",32,32
"LE07_031035_20210129",NA,20210129,"014","011",31,35
"LE07_031035_20220321",NA,20220321,"014","011",31,35
"LE07_029035_20210216",NA,20210216,"014","012",29,35
"LE07_029035_20210216",NA,20210216,"014","013",29,35
"LE07_030038_20220330",NA,20220330,"014","015",30,38
"LE07_031029_20201025",NA,20201025,"015","006",31,29
"LE07_029035_20210216",NA,20210216,"015","013",29,35
"LE07_029037_20210131",NA,20210131,"015","015",29,37
"LE07_029037_20210304",NA,20210304,"015","015",29,37
"LE07_029037_20210320",NA,20210320,"015","015",29,37
"LE07_029037_20211030",NA,20211030,"015","015",29,37
"LE07_029037_20220118",NA,20220118,"015","015",29,37
"LE07_029037_20220219",NA,20220219,"015","015",29,37
"LE07_029037_20220307",NA,20220307,"015","015",29,37
"LE07_029037_20220323",NA,20220323,"015","015",29,37
"LE07_032026_20220328",NA,20220328,"016","002",32,26
"LE07_030031_20210311",NA,20210311,"016","008",30,31
"LE07_030031_20211106",NA,20211106,"016","008",30,31
"LE07_030031_20211208",NA,20211208,"016","008",30,31
"LE07_030031_20220210",NA,20220210,"016","008",30,31
"LE07_030031_20220226",NA,20220226,"016","008",30,31
"LE07_030031_20220314",NA,20220314,"016","008",30,31
"LE07_025040_20210204",NA,20210204,"016","017",25,40
"LE07_025040_20210204",NA,20210204,"016","018",25,40
"LE07_027029_20200911",NA,20200911,"017","006",27,29
"LE07_027029_20210101",NA,20210101,"017","006",27,29
"LE07_029030_20201112",NA,20201112,"017","007",29,30
